Country,Confidence
United Kingdom,0.9130434782608696
Poland,0.9565217391304348
Portugal,0.782608695652174
Italy,0.6304347826086957
Spain,0.6739130434782609
Ireland,0.7608695652173914
Slovakia,0.7608695652173914
Netherlands,0.8478260869565217
France,0.7173913043478262
Romania,0.5869565217391304
Malta,0.5434782608695652
Germany,0.5434782608695652
Czech Republic,0.8043478260869565
Austria,0.6086956521739131
Denmark,0.6739130434782609
Belgium,0.5434782608695652
Greece,0.5434782608695652
Estonia,0.5652173913043479
